CLA_AREA,NOM_AREA
100,PRESIDENCIA
200,DIRECCIÓN DE INFRAESTRUCTURA
300,DIRECCIÓN COMERCIAL
400,DIRECCIÓN GENERAL
500,DIRECCIÓN DE TALENTO Y CAPITAL HUMANO
600,DIRECCIÓN DE INTELIGENCIA DE NEGOCIOS
700,DIRECCIÓN DE EXPANSIÓN Y PLANTA
800,DIRECCIÓN DE LOGÍSTICA Y DISTRIBUCIÓN
900,DIRECCIÓN DE PROYECTOS SUBROGADOS
1000,DIRECCIÓN DE SALUD INTEGRAL
1100,DIRECCIÓN DE COMPRAS INSTITUCIONALES
1200,DIRECCIÓN DE ÓPTICA
1300,DIRECCIÓN DE TI
1400,DIRECCIÓN FISCAL
1500,DIRECCIÓN DE OPERACIONES PROYECTOS ESTATALES
1700,DIRECCIÓN DE FUSIONES Y ADQUISICIONES
1900,FABRICA DE MUEBLES
2000,DIRECCIÓN SERVICIOS HOSPITALARIOS X MI
2100,DIRECCIÓN DE HOSPITALES
2200,DIRECCIÓN DE COMPRAS
2300,DIRECCIÓN DE HOTELES
2400,DIRECCIÓN DE MANTENIMIENTO
2401,DIRECCIÓN DE OPERACIONES PROYECTOS MUNICIPALES
