CLA_CENTRO_COSTO,NOM_CENTRO_COSTO
753,NUEVO LEON
760,VERACRUZ
10010,PRESIDENCIA
10030,DIRECCIÓN COMERCIAL
10035,MEDICINA GENERAL
10036,ODONTOLOGIA
10037,LABORATORIOS
10040,DIRECCIÓN GENERAL
10058,DIRECCIÓN DE FUSIONES Y ADQUISICIONES
11049,COMPRAS INSUMOS Y SERVICIOS
12012,ADMINISTRACION GB
12041,LABORATORIO OPTICA
12042,ALMACEN OPTICA
12043,OPTICA
13044,DESARROLLO Y PROGRAMACION
13045,SOPORTE TECNICO
13046,TECNOLOGIAS DE LA INFORMACION
14048,IMPUESTOS
15001,GERENTES REGIONALES
15002,COORDINADORES ZONALES
15003,STAFF COMODIN MUNICIPAL
15013,OPERACIONES ESTATALES
15051,STAFF DIRECCION OPERACIONES
15057,ANTENA SOCIAL
17058,FUSIONES Y ADQUISICIONES
20019,MANTENIMIENTO
20020,INFRAESTRUCTURA
21010,DIRECCIÓN DE HOSPITALES
23001,OPERACIONES GB
30021,COMPRAS
30023,COMERCIAL
30061,LICITACIONES
40010,DIRECCIÓN DE SALUD INTEGRAL
40011,DIRECCIÓN DE COMPRAS INSTITUCIONALES
40013,DIRECCIÓN DE TI
40014,DIRECCIÓN FISCAL
40015,DIRECCIÓN DE OPERACIONES
40016,CAT
40017,C4
40050,DIRECCIÓN DE TALENTO Y CAPITAL HUMANO
40052,ASUNTOS REGULATORIOS
40060,DIRECCIÓN DE INTELIGENCIA DE NEGOCIOS
40061,HOSPITALARIOS X MI
40065,DIRECCION DE ADMINISTRACION	
40080,DIRECCIÓN DE LOGÍSTICA Y DISTRIBUCIÓN
40090,DIRECCIÓN DE PROYECTOS SUBROGADOS
50024,NÓMINA Y COMPENSACIONES
50025,CAPACITACION Y DESARROLLO
50027,SEGURIDAD E HIGIENE
50028,RELACIONES LABORALES
60029,CONTRALORIA
60030,ADMINISTRACION
60031,TESORERIA
60032,CONTABILIDAD
70001,PLANTA PURIFICADORA
70002,EXPANSION
80032,LOGISTICA Y DISTRIBUCION
90033,CEDIS CUVIER
90034,PROYECTOS SUBROGADOS
100111,COYOTES ADMINISTRATIVO
100112,COYOTES DEPORTIVA
100402,STAFF DIRECCION GENERAL
150134,COAHUILA
150135,DURANGO
150533,SINALOA
150534,SAN LUIS POTOSI
150536,CHIHUAHUA
150541,GUERRERO
150542,HIDALGO
150545,TLAXCALA PENSIONADOS
150546,TLAXCALA BIENESTAR
150547,AGUASCALIENTES
150548,JALISCO
150549,GUANAJUATO
150551,CDMX
150552,EDOMEX
150561,CAMPECHE
150564,YUCATAN
150565,QUINTANA ROO
150572,OAXACA
160602,PLANEACION DE LA DEMANDA DE FARMACIA
190900,FABRICA DE MUEBLES
190901,CARPINTERIA
210101,OPERADORA TLAXCALTECA
230124,OPERACIONES PP
400181,DISEÑO GRAFICO
500125,RECURSOS HUMANOS CORPORATIVO
500126,RECURSOS HUMANOS PROYECTOS ESTATALES
500127,RECURSOS HUMANOS LOGISTICA E INFRAESTRUCTURA
500128,RECURSOS HUMANOS PROYECTOS MUNICIPALES
500129,RECURSOS HUMANOS PROYECTOS ESPECIALES
500130,RECURSOS HUMANOS PROYECTOS SUBROGADOS
500131,RECURSOS HUMANOS STAFF
500136,RECURSOS HUMANOS PROYECTOS NORTE Y BAJIO
500261,RECURSOS HUMANOS
600291,AUDITORIA
600292,CONTROL PATRIMONIAL
600294,ADUANA
600301,CUENTAS POR PAGAR
600303,VALIDACION
600304,FACTURACION
600305,COSTOS
600307,INTELIGENCIA DE NEGOCIOS
630630,MEXFINGAS
800321,ALMACEN
800322,TRAFICO
800323,INVENTARIOS
800324,INSUMOS
800325,EMBARQUES
900342,P.A.
900343,P.B.I.
900347,SAE INSURGENTES
900349,TRANSFORMACION DIGITAL
900350,TIJUANA
900351,BAJA CALIFORNIA NORTE
900352,YUCATAN
900354,ANTENA SOCIAL MUNICIPALES
900355,ADMINISTRACION OPTICA
900356,COORDINACION MEDICA
