CLA_DEPTO,NOM_DEPARTAMENTO
100,PRESIDENCIA
300,DIRECCIÓN COMERCIAL
400,DIRECCIÓN GENERAL
500,DIRECCIÓN DE TALENTO Y CAPITAL HUMANO
600,DIRECCIÓN DE INTELIGENCIA DE NEGOCIOS
753,NUEVO LEON
800,DIRECCIÓN DE LOGÍSTICA Y DISTRIBUCIÓN
900,DIRECCIÓN DE PROYECTOS SUBROGADOS
1000,DIRECCIÓN DE SALUD INTEGRAL
1100,DIRECCIÓN DE COMPRAS INSTITUCIONALES
1300,DIRECCIÓN DE TI
1400,DIRECCIÓN FISCAL
1500,DIRECCIÓN DE OPERACIONES
1600,CAT
1700,C4
1801,DISEÑO GRAFICO
1900,MANTENIMIENTO
2000,INFRAESTRUCTURA
2100,COMPRAS
2300,COMERCIAL
2400,NÓMINA Y COMPENSACIONES
2500,CAPACITACION Y DESARROLLO
2601,RECURSOS HUMANOS
2700,SEGURIDAD E HIGIENE
2800,RELACIONES LABORALES
2900,CONTRALORIA
2901,AUDITORIA INTERNA
2902,CONTROL PATRIMONIAL
2904,ADUANA
3000,ADMINISTRACION
3001,CUENTAS POR PAGAR
3003,VALIDACION
3004,FACTURACION
3005,COSTOS
3007,INTELIGENCIA DE NEGOCIOS
3100,TESORERIA
3200,LOGISTICA Y DISTRIBUCION
3201,ALMACEN
3202,TRAFICO
3203,INVENTARIOS
3204,INSUMOS
3205,EMBARQUES
3300,CEDIS CUVIER
3400,PROYECTOS SUBROGADOS
3401,P.A.
3402,P.B.I.
3406,SAE INSURGENTES
3500,MEDICINA GENERAL
3600,ODONTOLOGIA
3700,LABORATORIOS
4100,LABORATORIO OPTICA
4200,ALMACEN OPTICA
4300,OPTICA
4400,DESARROLLO Y PROGRAMACION
4500,SOPORTE TECNICO
4600,TECNOLOGIAS DE LA INFORMACION
4800,IMPUESTOS
4900,COMPRAS INSUMOS Y SERVICIOS
5000,STAFF DIRECCION GENERAL
5100,STAFF DIRECCION OPERACIONES
5200,ASUNTOS REGULATORIOS
5301,BAJA CALIFORNIA NORTE
5303,SINALOA
5304,SAN LUIS POTOSI
5306,CHIHUAHUA
5401,GUERRERO
5402,HIDALGO
5405,TLAXCALA PENSIONADOS
5406,TLAXCALA BIENESTAR
5407,AGUASCALIENTES
5408,JALISCO
5409,GUANAJUATO
5501,CDMX
5502,EDOMEX
5601,CAMPECHE
5603,VERACRUZ
5604,YUCATAN
5605,QUINTANA ROO
5700,ANTENA SOCIAL
5703,OAXACA
5800,DIRECCIÓN DE FUSIONES Y ADQUISICIONES
5801,FUSIONES Y ADQUISICIONES
5900,CONTABILIDAD
6002,PLANEACION DE LA DEMANDA DE FARMACIA
6100,LICITACIONES
6201,HOSPITALARIOS X MI
6300,MEXFINGAS
6500,DIRECCION DE ADMINISTRACION
7001,PLANTA PURIFICADORA
7002,EXPANSION
9000,FABRICA DE MUEBLES
9001,CARPINTERIA
10000,DIRECCIÓN DE HOSPITALES
10001,OPERADORA TLAXCALTECA
11001,COYOTES ADMINISTRATIVO
11002,COYOTES DEPORTIVA
12100,ADMINISTRACION GB
12200,OPERACIONES GB
12400,OPERACIONES PP
12500,RECURSOS HUMANOS CORPORATIVO
12600,RECURSOS HUMANOS PROYECTOS ESTATALES
12700,RECURSOS HUMANOS LOGISTICA E INFRAESTRUCTURA
12800,RECURSOS HUMANOS PROYECTOS MUNICIPALES
13000,RECURSOS HUMANOS PROYECTOS SUBROGADOS
13100,RECURSOS HUMANOS STAFF
13300,OPERACIONES ESTATALES
13400,COAHUILA
13500,DURANGO
13600,RECURSOS HUMANOS PROYECTOS NORTE Y BAJIO
15001,GERENTES REGIONALES
15002,COORDINADORES ZONALES
15003,STAFF COMODIN MUNICIPAL
15005,TIJUANA
15006,CIUDAD DE MEXICO
15007,ESTADO DE MEXICO
15008,JALISCO.
15010,ANTENA SOCIAL MUNICIPALES
15012,ADMINISTRACION OPTICA
15013,COORDINACION MEDICA
