CLA_PERIODO_PAGO,NOM_PERIODO_PAGO
20,Q OPERADORA ML
35,Q METRO HEALTH
50,Q SERVICIOS M HHS
80,Q MEXFINGAS
90,SERV PROF MEXFIN
105,Q CONFIDENCIAL ML
115,Q HOSPITAL X MI
130,Q HEALTCARE
135,S WEB GAS
140,Q CONFI WEB GAS
145,Q WEB GAS
150,Q OP. TLAXCALTECA
155,Q COYOTES FMF
160,Q COYOTES ADM
165,Q ZIRAHUEN FULL IMSS
170,Q BEDDO
171,Q LUURE
175,S BEDDO
180,S PORTO SIND LEY
181,S PORTOFINO CONF
182,S PORTO SIND SUPL
183,SERV PROF S PORTO
184,SERV PROF S BEDDO
185,SERV PROF Q BEDDO
186,SERV PROF Q CONFI ML
187,SERV PROF Q COYO ADM
188,SERV PROF Q HOS X MI
189,SERV PROF Q MEXFINGA
190,SERV PROF Q TLAXCALT
191,SERV PROF Q OPERADOR
