CLA_PUESTO,NOM_PUESTO
2001,ABOGADO
2002,AFILIADOR
2003,ALMACENISTA
2004,DIRECTOR ADMINISTRATIVO
2005,ANALISTA DE BASE DE DATOS
2006,ANALISTA DE CALIDAD
2007,ANALISTA DE COMPRAS
2008,ANALISTA DE CONTROL PATRIMONIAL
2009,COMUNITY MANAGER
2010,GERENTE DE OPERACIONES
2011,ANALISTA DE CUENTAS POR PAGAR
2013,ANALISTA DE REDES FMF
2015,ANALISTA DE TESORERIA
2016,ENCARGADO DE MTTO
2017,ASISTENTE DE DIRECCION JR
2018,ASISTENTE DE DIRECCION SR
2019,LABORES VARIAS
2020,AUDITOR INTERNO JR
2021,AUDITOR INTERNO SR
2022,AUXILIAR ADMINISTRATIVO
2023,SUPERVISOR DE CANCHA
2024,AUXILIAR DE ADUANA
2025,AUXILIAR DE ATRACCION DE TALENTO
2026,AUXILIAR DE COMPRAS
2027,AUXILIAR DE CONTROL INTERNO
2028,AUXILIAR DE CONTROL PATRIMONIAL
2029,AUXILIAR DE CONTROL VEHICULAR
2030,JARDINERIA Y LIMPIEZA
2033,GERENTE DEPORTIVO
2034,AUXILIAR DE FACTURACION
2035,AUXILIAR DE FARMACIA
2036,AUXILIAR DE INVENTARIOS
2037,AUXILIAR DE ENTRENADOR DE PORTEROS
2039,AUXILIAR DE MONTAJE DE APERTURAS
2040,AUXILIAR DE RECIBO
2041,AUXILIAR DE RESPONSABLE SANITARIO
2043,AUXILIAR DE TESORERIA
2044,AUXILIAR DENTAL
2045,AUXILIAR RECIBO Y EMBARQUE
2046,AUXILIAR SOPORTE TECNICO
2047,AYUDANTE GENERAL
2048,BISELADOR
2049,CHOFER
2050,COMPRADOR JR
2051,COMPRADOR SR
2052,CONTRALOR
2055,COORDINACION SUBROGADO PA
2056,COORDINACION SUBROGADO PBI
2057,COORDINADOR ADMINISTRATIVO
2058,COORDINADOR C4
2059,COORDINADOR DE ASEGURAMIENTO DE CALIDAD
2060,COORDINADOR DE CAPACITACION Y DESARROLLO
2061,COORDINADOR DE COMUNICACION INTERNA
2062,GESTOR LEGAL
2063,COORDINADOR DE CONTROL VEHICULAR
2064,COORDINADOR DE CUENTAS POR PAGAR Y COBRAR
2065,COORDINADOR DE MANTENIMIENTO
2066,COORDINADOR DE NOMINAS
2067,DESARROLLADOR TI
2068,COORDINADOR DE BENEFICIOS EMPRESARIALES
2069,COORDINADOR DE RECURSOS HUMANOS
2070,COORDINADOR DE SEGURIDAD E HIGIENE
2071,TESORERO
2072,COORDINADOR DE FARMACIA
2073,COORDINADOR DE VALIDACION
2075,COORDINADOR ZONAL
2077,COORDINADOR DISEÑO GRAFICO
2079,DIRECTOR DE COMPRAS INSTITUCIONALES
2080,DIRECTOR DE INTELIGENCIA NEGOCIO
2081,DIRECTOR DE LOGISTICA Y DISTRIBUCION
2082,DIRECTOR DE OPERACIONES
2084,DIRECTOR DE SALUD INTEGRAL
2085,DIRECTOR DE SUBROGADOS
2086,DIRECTOR DE TI
2087,DIRECTOR FISCAL
2088,DIRECTOR GENERAL
2089,DISEÑADOR GRAFICO JR
2090,EJECUTIVO DE CAT
2091,ENCARGADA PLANTA DE AGUA
2092,ENFERMERA
2093,ESCOLTA
2094,ESTIBADOR
2095,FACILITADOR  AUXILIAR DE FARMACIA
