CLA_REG_IMSS,NOM_REG_IMSS
1,OPERADORA DE SERVICIOS MEDICOS ML S.A. DE C.V.
2,"METRO HEALTH SERVICES, S.A. DE C.V."
3,"SERVICIOS MEDICOS HHS, S.A. DE C.V."
6,MEXFINGAS SAPI DE C.V.
7,SERVICIOS MEDICOS Y HOSPITALARIOS X MI
8,AUTOTRANSPORTES HEALT CARE SA DE CV
9,WEB GAS S.A de C.V.
10,OPERADORA MEDICA TLAXCALTECA S.A. DE C.V.
11,COYOTES DE TLAXCALA FC
12,GRUPO BEDDO S.A. DE C.V.
13,PROMOTORA PORTOFINO SA DE CV 
14,ML OPTICAL CORPORATION SA DE CV
15,SERVICIOS PROFESIONALES OP
16,GRUPO BEDDO S.A. DE C.V.
17,"METRO HEALTH SERVICES, S.A. DE C.V.."
