CLA_UBICACION,NOM_UBICACION
2,CEDIS TLAXCALA BIENESTAR
3,CEDIS TLAXCALA PENSIONADOS
4,CEDIS MERIDA
8,Unidad Medica Tlalnepantla
27,Soy Tu Salud Acapulco
58,Unidad Médica DIF Rayon
60,P.B.I. Marruecos
61,P.B.I. 100 Metros
62,P.B.I. Obregon
87,Corporativo Lago Xochimilco
89,Unidad Medica y Estética
108,Unidad Médica Móvil Tula
131,Unidad Medica Colectivo Cuajimalpa
139,Suburbano Tlalnepantla
140,Suburbano Lecheria
142,Suburbano Cuautitlan
149,P.A.  Tlalnepantla
150,P.A.  Ecatepec
151,P.A.  Iztapalapa
152,P.A.  Chalco
153,P.A.  Nezahualcoyotl
154,P.A.  Obregon
155,P.A.  Gustavo A. Madero
158,Clinica los Reyes la Paz 2
161,Metro Insurgentes
167,Unidad De Salud Chicoloapan Cabecera
168,Unidad De Salud Chicoloapan Ejercito Del Trabajo
169,Unidad De Salud Chicoloapan Via Lactea
171,Centro De Reclutamiento Y Selección
190,Unidad Médica Móvil Coatzacoalcos
191,SAE Insurgentes
194,Centro De Salud Municipal Campeche
195,Farmacia Comunitaria Concordia
197,Farmacia Comunitaria Lazaro Cardenas
198,Farmacia Comunitaria Lerma
199,Farmacia Comunitaria Mercado
200,Farmacia Comunitaria Samula
201,Farmacia Comunitaria Fidel Velazquez
202,Farmacia Comunitaria Siglo XXI
203,CEDIS Campeche
209,Soy Tu Salud Tizayuca
289,Unidad Venustiano Carranza Arenal
290,P.A. Medilaser
291,Farmacia Comunitaria Tikinmul
292,Farmacia Comunitaria Pich
293,Farmacia Comunitaria Nohakal
294,Farmacia Comunitaria Champoton
295,Farmacia Comunitaria Bonfil
310,Farmacia Comunitaria Ciudad Del Carmen Benito Juarez
311,Farmacia Comunitaria Ciudad Del Carmen  Renovacion
312,Farmacia Comunitaria Ciudad Del Carmen Tierra Y Libertad
313,Farmacia Comunitaria Calkini
314,Farmacia Comunitaria Escarcega
320,Clinica Comunitaria Marin Centro
384,Soy Tu Salud Tlalpan
385,Clinica Comunitaria Marin Uman
386,Clinica Comunitaria Marin Kanasin
387,Clinica Comunitaria Marin Ticul
388,Clinica Comunitaria Marin Progreso
389,Farmacia Comunitaria Hecelchakan
391,Clinica Comunitaria Marin Caucel
392,Clinica Comunitaria Marin Tizimin
397,Unidad Médica Móvil Poza Rica
398,Unidad Médica Móvil Matías Romero
403,Clinica Comunitaria Marin Valladolid
404,Clinica Comunitaria Marin Motul
407,Unidad Móvil Vallarta
411,Metro Universidad
412,Metro Lindavista
413,Metro Zapata
420,Fabrica de Muebles ML
426,Bienestar para tu Salud Calpulalpan
427,Bienestar para tu Salud Tlaxco
428,Bienestar para tu Salud San Pablo del Monte
429,Bienestar para tu Salud Yauhquemehcan
430,Bienestar para tu Salud Contla
431,Bienestar para tu Salud Ixtacuixtla
432,Bienestar para tu Salud Tetla
433,Bienestar para tu Salud Huamantla
434,Bienestar para tu Salud Zacatelco
435,Bienestar para tu Salud Papalotla
436,Bienestar para tu Salud Nanacamilpa
438,Salud Familiar Coacalco Granjas Cor
439,Salud Familiar Coacalco  Rinconada
440,Salud Familiar Coacalco  Sabinos
441,Salud Familiar Coacalco  Potrero
447,Clinica San Luis Potosi  Rio Verde
448,Clinica San Luis Potosi  Matehuala
449,Clinica San Luis Potosi Tamanzuchale
450,Clinica San Luis Potosi  Ciudad Valles
451,Clinica Los Reyes La Paz
459,Clinica San Luis Potosi Villa de Reyes
465,Clinica los Reyes la Paz 3
490,Unidad Rosa de Salud SLP Providencia
