CLA_TRAB,CLA_RAZON_SOCIAL,CLA_REG_IMSS,CLA_PUESTO,CLA_CENTRO_COSTO,CLA_AREA,CLA_DEPTO,CLA_UBICACION,CLA_PERIODO_PAGO
5,9,9,2001,10010,100,100,87,145
7,2,2,2187,10010,100,100,87,35
48,1,1,2090,40016,400,1600,87,20
64,15,15,2080,40060,400,600,87,186
134,9,9,2093,10010,100,100,87,135
146,15,15,2088,10040,100,400,87,186
535,15,15,2131,150551,2401,15006,413,191
570,7,7,2071,60031,600,3100,87,115
1083,14,14,2346,900355,1200,15012,100009,165
1154,14,14,2116,500261,500,2601,100009,165
1363,15,15,2309,100402,400,5000,87,191
1694,9,9,2093,10010,100,100,87,135
2802,1,1,2138,600307,600,3007,87,20
2877,1,1,2056,900343,900,3402,61,20
2990,1,1,2379,900343,900,3402,62,20
3308,15,15,2035,150551,2401,15006,161,191
3556,15,15,2140,150552,2401,15007,139,188
3623,1,1,2035,900342,900,3401,154,20
3645,15,15,2141,150551,1500,5501,384,191
3715,15,15,2185,20020,200,2000,87,186
3846,9,9,2122,15001,1500,15001,3,145
3867,15,15,2035,150551,1500,5501,89,191
3921,7,7,2015,60031,600,3100,87,115
3975,15,15,2238,10036,1000,3600,87,191
4003,9,9,2079,40011,400,1100,87,140
4013,7,7,2075,15002,1500,15002,87,115
4075,1,1,2379,900343,900,3402,60,20
4081,1,1,2122,15001,1500,15001,2,20
4102,2,2,2122,15001,1500,15001,519,35
4130,1,1,2187,10010,100,100,87,20
4171,7,7,2264,100402,400,5000,87,115
4177,15,15,2035,150552,1500,5502,168,191
4305,15,15,2085,40090,400,900,87,186
4383,1,1,2355,90033,900,3300,501,20
4386,15,15,2051,600307,600,3007,87,191
4394,15,15,2102,150552,2401,15007,167,191
4400,15,15,2189,10058,100,5800,87,186
4408,1,1,2075,150134,1500,13400,684,20
4411,1,1,2035,150561,1500,5601,197,20
4421,1,1,2035,150561,1500,5601,201,20
4479,3,3,2132,15057,1500,5700,398,50
4546,1,1,2141,150542,1500,5402,209,20
4558,7,7,2205,11049,1100,4900,87,115
4603,1,1,2423,90033,900,3300,501,20
4648,1,1,2055,900342,900,3401,154,20
4650,1,1,2035,900342,900,3401,290,20
4655,1,1,2380,900342,900,3401,150,20
